-1.20487e+02 	 3.59395e+01 	 2004 	 8 	 28 	 2.37 	 1.10500e+01 	 6 	 31 	 43.20  	 0.080 	 0.080
-1.20407e+02 	 3.57030e+01 	 2004 	 8 	 29 	 2.15 	 4.24000e+00 	 9 	 59 	  4.80  	 0.060 	 0.060
-1.20995e+02 	 3.48033e+01 	 2004 	 8 	 29 	 2.09 	 6.30000e-01 	 12 	 36 	  2.40  	 0.250 	 0.250
-1.21104e+02 	 3.57273e+01 	 2004 	 8 	 30 	 3.42 	 7.64000e+00 	 15 	 2 	 55.20  	 0.080 	 0.080
-1.20459e+02 	 3.64612e+01 	 2004 	 8 	 30 	 2.27 	 1.08300e+01 	 16 	 50 	 55.20  	 0.130 	 0.130
-1.20439e+02 	 3.64665e+01 	 2004	 8 	 30 	 2.27 	 1.33000e+01 	 19 	 13 	 28.80  	 0.140 	 0.140
-1.21009e+02 	 3.49165e+01 	 2004 	 8 	 31 	 2.67 	 4.00000e-02 	 8 	 18 	 16.80  	 0.240 	 0.240
-1.20599e+02 	 3.65612e+01 	 2004 	 9 	 1 	 2.77 	 5.24000e+00 	 15 	 8 	 40.80  	 0.190 	 0.190
-1.20797e+02 	 3.55318e+01 	 2004 	 9 	 3 	 2.27 	 6.47000e+00 	 2 	 54 	 16.80  	 0.080 	 0.080
-1.19950e+02 	 3.59218e+01 	 2004 	 9 	 3 	 2.39 	 3.00000e-02 	 3 	 1 	 28.80  	 0.200 	 0.200
-1.20796e+02 	 3.55293e+01 	 2004 	 9 	 3 	 2.19 	 5.80000e+00 	 6 	 34 	 36.00  	 0.080 	 0.080
-1.21131e+02 	 3.57442e+01 	 2004 	 9 	 3 	 2.15 	 7.04000e+00 	 13 	 16 	 21.60  	 0.090 	 0.090
-1.20799e+02 	 3.55310e+01 	 2004 	 9 	 4 	 2.21 	 5.96000e+00 	 1 	 26 	 26.40  	 0.060 	 0.060
-1.21378e+02 	 3.67265e+01 	 2004 	 9 	 5 	 2.06 	 2.95000e+00 	 3 	 31 	 43.20  	 0.070 	 0.070
-1.21287e+02 	 3.66607e+01 	 2004 	 9 	 6 	 2.17 	 7.69000e+00 	 14 	 3 	 52.80  	 0.040 	 0.040
-1.20270e+02 	 3.62048e+01 	 2004 	 9 	 8 	 2.56 	 1.00400e+01 	 16 	 40 	 50.40  	 0.120 	 0.120
-1.21397e+02 	 3.67712e+01 	 2004 	 9 	 9 	 2.41 	 7.80000e+00 	 0 	 37 	 28.80  	 0.180 	 0.180
-1.20594e+02 	 3.60357e+01 	 2004 	 9 	 11 	 2.12 	 5.39000e+00 	 1 	 53 	 48.00  	 0.080 	 0.080
-1.20606e+02 	 3.52895e+01 	 2004 	 9 	 11 	 2.88 	 1.12800e+01 	 11 	 21 	  9.60  	 0.070 	 0.070
-1.20821e+02 	 3.55217e+01 	 2004 	 9 	 11 	 2.87 	 5.89000e+00 	 12 	 30 	 16.80  	 0.080 	 0.080
-1.20793e+02 	 3.55313e+01 	 2004 	 9 	 12 	 2.04 	 5.88000e+00 	 2 	 24 	  2.40  	 0.100 	 0.100
-1.21096e+02 	 3.65693e+01 	 2004 	 9 	 13 	 2.68 	 9.05000e+00 	 1 	 49 	 28.80  	 0.100 	 0.100
-1.20409e+02 	 3.63683e+01 	 2004 	 9 	 14 	 2.34 	 1.08100e+01 	 15 	 54 	 45.60  	 0.130 	 0.130
-1.20903e+02 	 3.69823e+01 	 2004 	 9 	 14 	 2.30 	 3.33000e+00 	 17 	 22 	 36.00  	 0.160 	 0.160
-1.21003e+02 	 3.64535e+01 	 2004 	 9 	 15 	 3.09 	 8.45000e+00 	 17 	 3 	 52.80  	 0.090 	 0.090
-1.21003e+02 	 3.64523e+01 	 2004 	 9 	 15 	 2.10 	 7.39000e+00 	 22 	 52 	 21.60  	 0.090 	 0.090
-1.21012e+02 	 3.64370e+01 	 2004 	 9 	 16 	 3.19 	 7.03000e+00 	 18 	 50 	 26.40  	 0.090 	 0.090
-1.20817e+02 	 3.62475e+01 	 2004 	 9 	 16 	 2.13 	 7.95000e+00 	 20 	 11 	  4.80  	 0.090 	 0.090
-1.21010e+02 	 3.64563e+01 	 2004 	 9 	 22 	 2.08 	 8.32000e+00 	 9 	 23 	  4.80  	 0.080 	 0.080
-1.21123e+02 	 3.65388e+01 	 2004 	 9 	 22 	 2.10 	 3.33000e+00 	 21 	 34 	 36.00  	 0.040 	 0.040
-1.21261e+02 	 3.66448e+01 	 2004 	 9 	 25 	 2.72 	 5.97000e+00 	 3 	 0 	  2.40  	 0.050 	 0.050
-1.20367e+02 	 3.58155e+01 	 2004 	 9 	 28 	 5.96 	 8.56600e+00 	 17 	 15 	 24.00  	 1.000 	 1.500
-1.20472e+02 	 3.59196e+01 	 2004 	 9 	 28 	 3.07 	 4.56100e+00 	 17 	 15 	 59.95  	 1.000 	 1.500
-1.20552e+02 	 3.59942e+01 	 2004 	 9 	 28 	 3.29 	 4.44700e+00 	 17 	 16 	 31.40  	 1.000 	 1.500
-1.20432e+02 	 3.58799e+01 	 2004 	 9 	 28 	 3.10 	 5.40200e+00 	 17 	 16 	 34.15  	 1.000 	 1.500
-1.20482e+02 	 3.59298e+01 	 2004 	 9 	 28 	 2.30 	 5.18100e+00 	 17 	 16 	 42.60  	 1.000 	 1.500
-1.20394e+02 	 3.58495e+01 	 2004 	 9 	 28 	 2.39 	 4.55100e+00 	 17 	 16 	 54.60  	 1.000 	 1.500
-1.20477e+02 	 3.59251e+01 	 2004 	 9 	 28 	 2.46 	 5.20200e+00 	 17 	 17 	  2.05  	 1.000 	 1.500
-1.20373e+02 	 3.58242e+01 	 2004 	 9 	 28 	 2.56 	 6.36800e+00 	 17 	 17 	 27.95  	 1.000 	 1.500
-1.20373e+02 	 3.58231e+01 	 2004 	 9 	 28 	 2.80 	 6.33800e+00 	 17 	 17 	 30.90  	 1.000 	 1.500
-1.20479e+02 	 3.59267e+01 	 2004 	 9 	 28 	 2.45 	 4.58800e+00 	 17 	 17 	 34.30  	 1.000 	 1.500
-1.20347e+02 	 3.58090e+01 	 2004 	 9 	 28 	 3.16 	 3.81700e+00 	 17 	 17 	 37.70  	 1.000 	 1.500
-1.20480e+02 	 3.59297e+01 	 2004 	 9 	 28 	 2.52 	 5.32500e+00 	 17 	 17 	 41.35  	 1.000 	 1.500
-1.20487e+02 	 3.59347e+01 	 2004 	 9 	 28 	 2.56 	 5.27200e+00 	 17 	 17 	 44.60  	 1.000 	 1.500
-1.20409e+02 	 3.58828e+01 	 2004 	 9 	 28 	 5.96 	 5.60800e+00 	 17 	 17 	 48.80  	 1.000 	 1.500
-1.20408e+02 	 3.58539e+01 	 2004 	 9 	 28 	 4.15 	 9.20100e+00 	 17 	 19 	  6.50  	 1.000 	 1.500
-1.20406e+02 	 3.58299e+01 	 2004 	 9 	 28 	 4.20 	 2.41300e+00 	 17 	 19 	 23.45  	 1.000 	 1.500
-1.20423e+02 	 3.58713e+01 	 2004 	 9 	 28 	 2.03 	 4.90700e+00 	 17 	 20 	 21.45  	 1.000 	 1.500
-1.20414e+02 	 3.58593e+01 	 2004 	 9 	 28 	 2.38 	 9.34500e+00 	 17 	 20 	 41.20  	 1.000 	 1.500
